sample	species	group	ROH	FROH	DP4	nRefHom	nNonRefHom	nHets	het	nTransitions	nTransversions	depth	nSingletons	nMissing	high_hom	high_het	high_total	moderate_hom	moderate_het	moderate_total	cadd_01_hom	cadd_01_het	cadd_01_total	cadd_05_hom	cadd_05_het	cadd_10_hom	cadd_10_het	cadd_25_hom	cadd_25_het
MK_594369	Mauritius 	early	489400508	0.445056208	984998108	31171085	73352	108385	0.000110036	129960	51777	45.89065732	70	11049	9.65E-05	8.75E-06	0.000201817	0.003896159	0.000197995	0.007990313	0.000861069	0.000147612	0.001869749	0.016926149	0.001730338	0.052254565	0.003903511	0.168096997	0.009627567
MK_594370	Mauritius 	early	310819359	0.282656195	977139359	31152130	59809	134908	0.000138064	139417	55300	49.39333499	0	17024	9.36E-05	1.02E-05	0.000197414	0.003825931	0.000233094	0.007884957	0.000811715	0.000221377	0.001844807	0.016693451	0.002148175	0.051802171	0.005132662	0.166450756	0.013380998
MK_594371	Mauritius 	early	579259641	0.526773257	974313640	31195073	71919	81037	8.31734E-05	109555	43401	42.33020689	1	15842	9.47E-05	8.77E-06	0.000198208	0.003871298	0.000175362	0.007917957	0.000861507	0.000147687	0.0018707	0.016992193	0.001263543	0.052313966	0.002896303	0.168010207	0.007671512
MK_594373	Mauritius 	early	436305406	0.396772023	987729772	31193859	48014	116422	0.000117868	117600	46836	52.21722553	0	5576	9.47E-05	1.03E-05	0.000199847	0.003858206	0.000218575	0.007934988	0.00082059	0.000172324	0.001813504	0.0168221	0.001764269	0.052082863	0.004160393	0.167088587	0.010995909
MK_594387	Mauritius 	early	600504868	0.546093466	981731022	31192575	67906	89120	9.07784E-05	112444	44582	40.61319094	103	14270	9.64E-05	9.38E-06	0.000202178	0.003876688	0.000187984	0.007941359	0.000837012	0.00016412	0.001838145	0.016912573	0.001460669	0.052321478	0.003208547	0.167968686	0.008575274
MK_596254	Mauritius 	early	402618894	0.366137827	975848694	31173957	63978	115457	0.000118314	128119	51316	44.61794091	0	10479	9.58E-05	8.26E-06	0.00019996	0.003866097	0.000206744	0.007938938	0.000819739	0.000172145	0.001811624	0.017140749	0.001639479	0.052430527	0.003951144	0.168169522	0.010213952
MK_5A19614	Mauritius 	recent	159403809	0.144960321	892460656	30519555	19683	183126	0.000205192	145522	57287	24.67553135	0	641507	9.12E-05	1.07E-05	0.0001931	0.003757991	0.000283231	0.007799214	0.000774169	0.000278353	0.001826691	0.01635323	0.003183661	0.050781998	0.007358953	0.164810981	0.01877142
MK_5A19617	Mauritius 	recent	409029659	0.371967716	929310470	30442149	54081	113913	0.000122578	120104	47890	25.46443503	1	753728	9.26E-05	8.30E-06	0.000193547	0.003808621	0.000215286	0.007832528	0.000815707	0.000199588	0.001831001	0.016852153	0.001804968	0.052292006	0.003931012	0.167888057	0.01005749
MK_5A26613	Mauritius 	recent	178445108	0.162276299	930928720	30633422	26448	176908	0.000190034	145975	57381	24.42759792	0	527093	9.28E-05	1.08E-05	0.000196454	0.003797807	0.000271063	0.007866676	0.000805634	0.000262891	0.00187416	0.016367098	0.002866362	0.050907611	0.006674045	0.164790387	0.016799596
RK1	Rock	none	1906993	0.001734201	831489737	24805858	3482784	2723968	0.003276009	4425702	1781050	23.93309893	5484	351261	7.04E-05	4.62E-05	0.00018696	0.002932259	0.001423351	0.007287869	0.000374795	0.000849536	0.001599127	0.008262157	0.018240044	0.026127405	0.058151592	0.093274088	0.203322353
RK10	Rock	none	3453818	0.00314087	902454480	24566841	3447399	2674482	0.002963564	4367136	1754745	18.51505129	6451	675149	7.06E-05	4.93E-05	0.000190442	0.002928262	0.001405513	0.007262037	0.000290039	0.000801873	0.001381952	0.007745755	0.018639289	0.025071337	0.059193605	0.091251477	0.207813146
RK2	Rock	none	3602018	0.003275641	754667265	24421432	3439888	2674231	0.00354359	4361833	1752286	18.58610888	6521	828320	6.77E-05	5.19E-05	0.000187306	0.002897997	0.00145942	0.007255414	0.000356208	0.000822672	0.001535089	0.008124944	0.018005487	0.02626613	0.056467515	0.094598778	0.200002544
RK3	Rock	none	3477099	0.003162041	767875844	24479930	3432083	2697393	0.003512798	4373401	1756075	19.05733091	5974	754465	6.89E-05	4.80E-05	0.000185859	0.002899368	0.001493542	0.007292279	0.000305368	0.000814315	0.001425051	0.007905641	0.019000683	0.025515203	0.058367723	0.09287432	0.203553297
